ANTH 2  - INTRO CULT ANTHRO,4.0,Optional,TR,12:30 PM-1:45 PM,Campbell Hall,HOELLE J A,Space Closed,Max 635,00018
ANTH 3  - INTRO ARCH,5.0,Optional,MW,9:30 AM-10:45 AM,"Chemistry Building, 1179",MCCLURE S B,Space 4,Max 354,59659
ANTH 99  - INDEPENDENT STUDIES,1.0-4.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 35,Max 35,00406
ANTH 100  - BASIC ARCH CONCEPTS,4.0,Optional,TR,9:30 AM-10:45 AM,"HSSB, 1021",KENNETT D J,Space Full,Max 20,60087
ANTH 102  - ACTIVIST ANTH,4.0,Letter Graded,R,3:00 PM-5:50 PM,Embarcadero Hall,SALDIVAR TANA,Space 4,Max 80,59832
"ANTH 116A  - MYTH, RITUAL, SYMB",4.0,Optional,TR,9:30 AM-10:45 AM,"Girvetz Hall, 1119",BANACH M,Space Full,Max 40,00422
ANTH 123MG - SOC SCI DATA ANALYS,4.0,Letter Graded,TR,2:00 PM-3:50 PM,"HSSB, 2001A",THOMPSON GONZ,Space Full,Max 20,60038
ANTH 125  - ANTHRO OF GENDER,4.0,Optional,WF,9:30 AM-10:45 AM,"Arts Building, 1353",PACHECO R,Space 3,Max 40,60129
ANTH 129  - ETHNOGRAPH RES METH,4.0,Letter Graded,Cancel,Cancel,Cancel,Cancel,Space Cancel,Max 30,60020
ANTH 130  - INTL DEV POP HEALTH,4.0,Optional,TR,12:30 PM-1:45 PM,"Girvetz Hall, 1119",KILGALLEN J A,Space 1,Max 48,60061
ANTH 133  - CULT DEVEL MESOAMER,4.0,Optional,MW,9:30 AM-10:45 AM,"HSSB, 1174",VANDERWARKER,Space Full,Max 95,60095
ANTH 150  - HUM GENETICS,4.0,Optional,TR,11:00 AM-12:15 PM,"ILP, 3103",BODDY A M,Space Full,Max 30,60053
ANTH 151T  - EVOLUTIONARY PSYCH,4.0,Optional,WF,11:00 AM-12:15 PM,"HSSB, 2001A",GAULIN S J,Space Full,Max 25,60079
ANTH 178  - INTERN ARCHAEO REC,1.0-4.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,GURVEN M D,Space 5,Max 5
ANTH 183  - INTERN ARCH RES MGT,1.0-4.0,Pass/No Pass,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 5,Max 5,00513
ANTH 190  - CULT ANTH INTERN,1.0-4.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 5,Max 5,00521
ANTH 193  - GRADSCHOOL&JOBPREP,4.0,Optional,MW,12:30 PM-1:45 PM,"HSSB, 1174",VANDERWARKER,Space Full,Max 50,00539
ANTH 194  - FLD TRNG ARCH,1.0-8.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space Full,Max 0,00547
ANTH 194P  - PRACTICUM FIELD/LAB,1.0-4.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space Full,Max 0,00554
ANTH 195B  - ANTH HNR IND STDY I,4.0,Letter Graded,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 5,Max 5,00562
ANTH 195C  - ANTH HNR IND STD II,4.0,Letter Graded,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 5,Max 5,00570
ANTH 197ES - SPECIAL COURSES,4.0,Optional,W,3:00 PM-5:50 PM,"HSSB, 2001A",SALDIVAR TANA,Space 8,Max 30,00588
ANTH 198  - INDEP READINGS ANTH,1.0-5.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 5,Max 5,00612
ANTH 199  - INDEP STUDIES ANTH,1.0-5.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 30,Max 30,00620
ANTH 199RA - RESEARCH TRAINING,1.0-5.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 50,Max 50,00638
ART 1A  - VISUAL LITERACY,5.0,Optional,MW,12:30 PM-1:45 PM,"HSSB, 1173",TASCHIAN H J,Space Full,Max 50,00794
ART 7C  - SPATIAL STUDIES,5.0,Optional,W,2:00 PM-3:15 PM,"Psychology Building, 1902",GARCIA K,Space 7,Max 75,00844
"ART 7D  - ART, SCIENCE, TECH",5.0,Optional,R,3:30 PM-4:45 PM,"Broida Hall, 1640",BRADY S R,Space 2,Max 88,00885
ART 10  - INTRO PAINTING,4.0,Optional,MW,12:00 PM-2:50 PM,"Arts Building, 2628",KOTH M K,FARAJIANI N,Space Full,Max 17
ART 18  - L/D DRAWING,4.0,Optional,MW,9:00 AM-11:50 AM,"Arts Building, 2636",BELTZ E A,SCHLOSSBERG R,Space Full,Max 18
ART 100  - INT PAINTING,4.0,Optional,TR,1:00 PM-2:50 PM,"Arts Building, 2422",ARGENT P,Space Full,Max 18,00968
ART CS 101  - DRAWING & PAINTING,1.0-6.0,Pass/No Pass,R,1:00 PM-4:50 PM,"Creative Studies, 120",PITCHER H,Space 1,Max 12,01180
ART 102MM - MOBILE MEDIA,4.0,Letter Graded,TR,9:00 AM-10:50 AM,"Arts Building, 2220",JEVBRATT L V,Space Full,Max 15,56861
ART CS 104  - PRINTS,1.0-6.0,Pass/No Pass,M,2:00 PM-4:20 PM,"Creative Studies, 136",DJOUINI I,Space Full,Max 12,50526
ART 106W  - ARCH VIS TECH,4.0,Optional,TR,2:00 PM-4:20 PM,"ILP, 2209",WHITE J S,Space 2,Max 12,56879
ART CS 107  - HIST THEORY & CRIT,1.0-6.0,Pass/No Pass,F,2:00 PM-4:50 PM,"Creative Studies, 143",ZALEHA S,Space Closed,Max 12,50542
ART 110  - INT PRINT,4.0,Optional,MW,9:00 AM-10:50 AM,"Arts Building, 2235",SAUBESTRE K L,Space Full,Max 15,56887
ART CS 112  - SPECIAL TOPICS,1.0-6.0,Pass/No Pass,M,10:00 AM-12:20 PM,"Creative Studies, 143",DJOUINI I,Space Full,Max 12,01214
ART 117  - INT DRAWING,4.0,Optional,MW,1:00 PM-3:50 PM,"Arts Building, 2636",BELTZ E A,Space Full,Max 18,00992
ART CS 120  - SCULPTURE,1.0-6.0,Pass/No Pass,W,2:00 PM-5:50 PM,"Creative Studies, 136",CLANCY K J,Space Full,Max 12,62919
ART CS 125  - SCULPT-REL STUDIES,1.0-6.0,Pass/No Pass,W,11:00 AM-1:20 PM,"Creative Studies, 136",GARCIA K,Space 3,Max 15,50518
ART 126  - INTRO THEORY,4.0,Optional,TR,1:00 PM-2:15 PM,"Arts Building, 1344",VANDERPOOL J,Space Full,Max 20,56895
ART 132  - DIGITAL VIDEO,4.0,Optional,MW,MW,4:00 PM-5:50 PM,4:00 PM-5:50 PM,"Arts Building, 1237","Arts Building, 2220",SAUBESTRE K L
ART 133M  - MEMORY: INT EXPLORE,5.0,Optional,WF,2:30 PM-5:30 PM,"Arts Building, 0641",YASUDA K,CARDENAS GASC,Space 5,Max 25
ART 189B  - CAP DESIGN,3.0,Optional,MWF,1:00 PM-1:50 PM,"Broida Hall, 1640",SUSKO T G,Space 1,Max 5,01057
ART 192ES - EXHIBITION STUDIES,1.0-4.0,Pass/No Pass,T.B.A.,T.B.A.,T.B.A.,T.B.A.,LUKAS A V,MELGOZA OCEGU,Space 5
ART 192IA - INTERNSHIP ART,1.0-4.0,Pass/No Pass,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 5,Max 5,01073
ART 196  - HONORS SEMINAR,4.0,Letter Graded,W,2:00 PM-4:50 PM,"Arts Building, 1344",JEVBRATT L V,Space Full,Max 10,01081
ART 199  - INDEPENDENT STUDIES,1.0-5.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 30,Max 30,01099
ART 199RA - RESEARCH ASSISTANCE,1.0-5.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 10,Max 10,01107
ART CS 199  - INDEPENDENT STUDIES,1.0-6.0,Pass/No Pass,T.B.A.,T.B.A.,T.B.A.,T.B.A.,PITCHER H,Space Full,Max 5
ARTHI 6B  - SURVEY II: REN-BAR,4.0,Optional,MW,11:00 AM-12:15 PM,"ILP, 2302",PAUL C,Space 14,Max 245,01396
"ARTHI 6E  - AFR,OCEANIA,N. AMER",4.0,Optional,TR,12:30 PM-1:45 PM,Embarcadero Hall,OGBECHIE S O,Space 10,Max 125,50161
ARTHI 6J  - SUR CONTEMP ARCH,4.0,Optional,MW,9:30 AM-10:45 AM,"TD-W, 1701",WHITE J S,Space 5,Max 150,01594
ARTHI 6K  - ISLAM ART & ARCH,4.0,Optional,TR,3:30 PM-4:45 PM,"Girvetz Hall, 1004",KHOURY N N,Space 4,Max 100,50237
ARTHI 103D  - INTROCLASSICALARCH,4.0,Optional,TR,12:30 PM-1:45 PM,"Arts Building, 1341",MOSER C H,Space Full,Max 60,50401
